Printer_Name,Consumable_Sku
IBM/InfoPrint 1850 MFP,CPT/39V2969
IBM/InfoPrint 1860 MFP,CPT/39V2969
IBM/InfoPrint 1870dnx MFP,CPT/39V2969
IBM/InfoPrint 1870dtx MFP,CPT/39V2969
IBM/InfoPrint 1880bdx MFP,CPT/39V2969
IBM/InfoPrint 1880fdx MFP,CPT/39V2969
IBM/InfoPrint 1880tbx MFP,CPT/39V2969
IBM/InfoPrint 1880tfx MFP,CPT/39V2969
Lexmark T650DN,"CPT/T650,CPT/T650MICR"
Lexmark T650DTN,"CPT/T650,CPT/T650MICR"
Lexmark T650N,"CPT/T650,CPT/T650MICR"
Lexmark T652DN,"CPT/T650,CPT/T650MICR"
Lexmark T652DTN,"CPT/T650,CPT/T650MICR"
Lexmark T652N,"CPT/T650,CPT/T650MICR"
Lexmark T654DN,"CPT/T650,CPT/T650MICR,CPT/T654"
Lexmark T654DTN,"CPT/T650,CPT/T650MICR,CPT/T654"
Lexmark T654N,"CPT/T650,CPT/T650MICR,CPT/T654"
Lexmark T656dne,"CPT/T650,CPT/T650MICR,CPT/T654"
Lexmark TS654dn,"CPT/T650,CPT/T650MICR,CPT/T654"
Lexmark TS656dne,"CPT/T650,CPT/T650MICR,CPT/T654"
OKI MB780,CPT/52124401
OKI MB790f,CPT/52124401
OKI MB790m,CPT/52124401
Dell B3465dn,"CPT/332-0376,CPT/331-9803,CPT/331-9806"
Dell B3465dnf,"CPT/332-0376,CPT/331-9803,CPT/331-9806"
HP LaserJet Pro MFP M227sdn,"CPT/CAN051DR,CPT/CF230AJ,CPT/CF230X,CPT/CF230A"
HP LaserJet Pro MFP M227fdw,"CPT/CAN051DR,CPT/CF230AJ,CPT/CF230X,CPT/CF230A"
HP LaserJet Pro MFP M227d,"CPT/CAN051DR,CPT/CF230AJ,CPT/CF230X,CPT/CF230A"
HP LaserJet Pro MFP M227fdn,"CPT/CAN051DR,CPT/CF230AJ,CPT/CF230X,CPT/CF230A"
HP LaserJet Pro M203dw,"CPT/CAN051DR,CPT/CF230AJ,CPT/CF230X,CPT/CF230A"
HP LaserJet Pro M203dn,"CPT/CAN051DR,CPT/CF230AJ,CPT/CF230X,CPT/CF230A"
HP LaserJet Ultra M206 fn,CPT/CAN051DR
HP LaserJet Ultra MFP M230 fdw,CPT/CAN051DR
